state_id,scenario_id,primary_rule_id,state_name,required_param_state,missing_parameters,context_state,user_revision_state,tool_result_state,gate_condition,gate_state,expected_action,expected_tool,argument_rule,ask_for,gold_behavior,case_type,generation_budget,keep
S001_A001,S001,,,全部齐全,,参数全部在当前轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A002,S001,,,全部齐全,,参数全部在当前轮,未修改,成功,,不适用,RESPOND_TOOL_RESULT,,,,,,,
S001_A003,S001,,,全部齐全,,参数全部在当前轮,未修改,空结果,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S001_A004,S001,,,全部齐全,,参数全部在当前轮,未修改,工具报错,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S001_A005,S001,,,全部齐全,,部分参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A006,S001,,,全部齐全,,部分参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A007,S001,,,全部齐全,,部分参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A008,S001,,,全部齐全,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A009,S001,,,全部齐全,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A010,S001,,,全部齐全,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A011,S001,,,全部齐全,,历史信息与当前轮冲突,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A012,S001,,,全部齐全,,历史信息与当前轮冲突,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A013,S001,,,全部齐全,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A014,S001,,,缺1个,,无相关上下文,未修改,未调用,,不适用,ASK_USER,,,,,,,
S001_A015,S001,,,缺1个,,部分参数在历史轮,未修改,未调用,,不适用,ASK_USER,,,,,,,
S001_A016,S001,,,缺1个,,部分参数在历史轮,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S001_A017,S001,,,缺1个,,部分参数在历史轮,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
S001_A018,S001,,,缺1个,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A019,S001,,,缺1个,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A020,S001,,,缺1个,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S001_A021,S001,,,缺1个,,历史信息与当前轮冲突,未修改,未调用,,不适用,ASK_USER,,,,,,,
S001_A022,S001,,,缺1个,,历史信息与当前轮冲突,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S001_A023,S001,,,缺1个,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
