state_id,scenario_id,primary_rule_id,state_name,required_param_state,missing_parameters,context_state,user_revision_state,tool_result_state,gate_condition,gate_state,expected_action,expected_tool,argument_rule,ask_for,gold_behavior,case_type,generation_budget,keep
S002_A001,S002,,,全部齐全,,参数全部在当前轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A002,S002,,,全部齐全,,参数全部在当前轮,未修改,成功,,不适用,RESPOND_TOOL_RESULT,,,,,,,
S002_A003,S002,,,全部齐全,,参数全部在当前轮,未修改,空结果,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S002_A004,S002,,,全部齐全,,参数全部在当前轮,未修改,工具报错,,不适用,RECOVER_TOOL_ERROR,,,,,,,
S002_A005,S002,,,全部齐全,,部分参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A006,S002,,,全部齐全,,部分参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A007,S002,,,全部齐全,,部分参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A008,S002,,,全部齐全,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A009,S002,,,全部齐全,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A010,S002,,,全部齐全,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A011,S002,,,全部齐全,,历史信息与当前轮冲突,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A012,S002,,,全部齐全,,历史信息与当前轮冲突,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A013,S002,,,全部齐全,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A014,S002,,,缺1个,,无相关上下文,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A015,S002,,,缺1个,,部分参数在历史轮,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A016,S002,,,缺1个,,部分参数在历史轮,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A017,S002,,,缺1个,,部分参数在历史轮,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A018,S002,,,缺1个,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A019,S002,,,缺1个,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A020,S002,,,缺1个,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A021,S002,,,缺1个,,历史信息与当前轮冲突,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A022,S002,,,缺1个,,历史信息与当前轮冲突,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A023,S002,,,缺1个,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A024,S002,,,缺多个,,无相关上下文,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A025,S002,,,缺多个,,部分参数在历史轮,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A026,S002,,,缺多个,,部分参数在历史轮,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A027,S002,,,缺多个,,部分参数在历史轮,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A028,S002,,,缺多个,,全部参数在历史轮,未修改,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A029,S002,,,缺多个,,全部参数在历史轮,修改参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A030,S002,,,缺多个,,全部参数在历史轮,撤销参数,未调用,,不适用,CALL_TOOL,,,,,,,
S002_A031,S002,,,缺多个,,历史信息与当前轮冲突,未修改,未调用,,不适用,ASK_USER,,,,,,,
S002_A032,S002,,,缺多个,,历史信息与当前轮冲突,修改参数,未调用,,不适用,ASK_USER,,,,,,,
S002_A033,S002,,,缺多个,,历史信息与当前轮冲突,撤销参数,未调用,,不适用,ASK_USER,,,,,,,
